business_id,snapshot_date,province,industry_sector,legal_entity_type,business_age_years,annual_revenue,predicted_default_probability,orey_financial_health_score,risk_band,lending_decision,indicative_pricing_tier,indicative_monthly_rate,facility_limit_guidance,monitoring_frequency
APP-00037,2026-08-10,Limpopo,ICT & Tech Services,Pty Ltd,11.6,1600982.77,0.23226187825349626,588,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00038,2026-08-07,Mpumalanga,Transport & Logistics,Close Corporation,4.2,,0.1279433882027589,609,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00039,2026-08-27,Gauteng,Hospitality & Food Service,Pty Ltd,7.0,1405686.62,0.4952951126219557,554,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00040,2026-08-03,Western Cape,Construction,Sole Proprietor,20.7,594266.08,0.07797779693735751,625,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00041,2026-08-16,Western Cape,Personal Services,Close Corporation,2.9,1084949.69,0.11140359104473298,613,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00042,2026-08-14,Northern Cape,Professional Services,Sole Proprietor,12.1,1888400.0,0.3558396567987282,571,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00043,2026-08-17,Gauteng,Transport & Logistics,Close Corporation,3.4,,0.37702981070092445,568,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00044,2026-08-18,KwaZulu-Natal,Manufacturing,Pty Ltd,5.7,740449.71,0.03117059029564366,653,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00045,2026-08-03,Limpopo,Wholesale Trade,Close Corporation,8.3,404995.07,0.3444261778460854,572,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00046,2026-08-10,Western Cape,Transport & Logistics,Pty Ltd,4.0,1326497.58,0.20961446952643498,592,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00047,2026-08-17,Gauteng,Real Estate,Pty Ltd,,1510246.82,0.3391424946800433,573,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00048,2026-08-04,KwaZulu-Natal,Manufacturing,Pty Ltd,1.9,,0.27929137804398885,581,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00049,2026-08-24,Western Cape,Manufacturing,Pty Ltd,4.9,546113.78,0.3160463769511086,576,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00050,2026-08-24,Limpopo,Personal Services,Sole Proprietor,1.7,1624536.39,0.4391672347156905,561,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00051,2026-08-16,Gauteng,Manufacturing,Close Corporation,7.2,10243214.32,0.15627372450627516,602,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00052,2026-08-24,Gauteng,Agriculture,Pty Ltd,5.9,850048.21,0.022975126220775195,662,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00053,2026-08-13,Gauteng,Transport & Logistics,Pty Ltd,11.0,1547022.53,0.615109498181837,540,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00054,2026-08-17,Eastern Cape,Agriculture,Pty Ltd,4.5,1600067.63,0.20554087139527918,593,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00055,2026-08-14,Gauteng,ICT & Tech Services,Pty Ltd,10.9,113461.59,0.13505452307620106,607,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00056,2026-08-04,Limpopo,Real Estate,Partnership,11.6,1389287.51,0.2477191504730315,586,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00057,2026-08-06,Limpopo,Transport & Logistics,Partnership,12.1,625839.6,0.2791257852468764,581,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00058,2026-08-16,North West,Hospitality & Food Service,Partnership,9.1,4237280.33,0.087730749283389,621,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00059,2026-08-03,Gauteng,Professional Services,Sole Proprietor,7.4,881251.86,0.040715062190050076,645,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00060,2026-08-19,Gauteng,Health & Wellness,Sole Proprietor,6.6,544263.66,0.027782959788288056,656,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00061,2026-08-10,Western Cape,Health & Wellness,Pty Ltd,3.8,831755.84,0.18773493389688847,596,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00062,2026-08-13,North West,Professional Services,Pty Ltd,5.2,1313987.95,0.01688382782357428,671,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00063,2026-08-27,Free State,Retail Trade,Pty Ltd,5.2,695295.19,0.01771941735513121,669,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00064,2026-08-26,Gauteng,Transport & Logistics,Close Corporation,18.7,1249461.73,0.01148494745128811,682,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00065,2026-08-14,Eastern Cape,Retail Trade,Pty Ltd,1.8,326911.37,0.1914840016256958,595,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00066,2026-08-12,Limpopo,Real Estate,Pty Ltd,4.4,897036.08,0.5495483617964904,548,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00067,2026-08-24,North West,Wholesale Trade,Pty Ltd,6.5,2232157.88,0.2881052635571606,580,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00068,2026-08-15,Eastern Cape,Professional Services,Pty Ltd,2.4,6295666.52,0.024589077270955564,660,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00069,2026-08-22,Mpumalanga,Wholesale Trade,Sole Proprietor,8.8,2193958.96,0.11074345846988624,614,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00070,2026-08-04,Mpumalanga,Wholesale Trade,Pty Ltd,3.2,1458154.76,0.16102447286837104,601,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00071,2026-08-21,Western Cape,Agriculture,Pty Ltd,6.9,3432492.8,0.026862120042240933,657,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00072,2026-08-17,Gauteng,Personal Services,Close Corporation,5.5,2648436.03,0.3009635306492814,578,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00073,2026-08-07,Eastern Cape,Agriculture,Close Corporation,8.1,4967685.49,0.22943914760696235,589,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00074,2026-08-23,Gauteng,Health & Wellness,Sole Proprietor,1.7,2935726.07,0.534542325663797,550,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00075,2026-08-16,Western Cape,Agriculture,Sole Proprietor,6.8,1029852.15,0.8116423817659346,511,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00076,2026-08-22,Northern Cape,Wholesale Trade,Pty Ltd,13.6,1477487.97,0.047239213553023005,640,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00077,2026-08-25,KwaZulu-Natal,ICT & Tech Services,Close Corporation,9.6,1465574.51,0.22914903822148217,589,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00078,2026-08-08,KwaZulu-Natal,Manufacturing,Sole Proprietor,5.3,1417143.1,0.07864075514256945,625,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00079,2026-08-24,North West,Health & Wellness,Pty Ltd,5.6,1306456.75,0.10219475679531333,616,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00080,2026-08-29,Gauteng,Transport & Logistics,Pty Ltd,6.1,538806.25,0.16817797512119015,600,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00081,2026-08-15,Northern Cape,Transport & Logistics,Pty Ltd,4.5,147605.43,0.4744212408669784,557,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00082,2026-08-21,Limpopo,Health & Wellness,Pty Ltd,2.7,601227.73,0.5474772301946836,548,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00083,2026-08-23,Western Cape,Agriculture,Pty Ltd,,167312.85,0.7076614373096227,528,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00084,2026-08-13,Western Cape,Hospitality & Food Service,Pty Ltd,5.1,,0.01042623795733188,685,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00085,2026-08-24,Gauteng,Manufacturing,Pty Ltd,18.5,1145196.18,0.1974723420299514,594,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00086,2026-08-13,Limpopo,Construction,Pty Ltd,7.7,262363.16,0.03132715541949608,653,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00087,2026-08-26,Gauteng,Professional Services,Pty Ltd,20.2,2193091.95,0.0879252333484313,621,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00088,2026-08-23,Gauteng,Construction,Pty Ltd,5.3,2404231.78,0.11569063572373256,612,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00089,2026-08-16,Limpopo,Construction,Pty Ltd,6.9,1127877.31,0.38406642676896197,567,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00090,2026-08-06,KwaZulu-Natal,Real Estate,Pty Ltd,5.5,4933399.04,0.43845780707125687,561,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00091,2026-08-24,Eastern Cape,Transport & Logistics,Sole Proprietor,2.7,5265835.56,0.5892455073532865,543,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00092,2026-08-19,Eastern Cape,Transport & Logistics,Pty Ltd,2.4,359948.76,0.5811612833639598,544,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00093,2026-08-17,Gauteng,Transport & Logistics,Pty Ltd,4.4,2809093.59,0.011018161075538548,683,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00094,2026-08-21,Gauteng,Hospitality & Food Service,Sole Proprietor,10.3,1759956.25,0.06377672772391173,631,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00095,2026-08-29,Western Cape,Personal Services,Pty Ltd,2.2,1679881.31,0.07347032051009457,627,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00096,2026-08-15,Gauteng,Real Estate,Pty Ltd,1.6,,0.6642629821794915,534,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00097,2026-08-12,KwaZulu-Natal,Transport & Logistics,Sole Proprietor,5.2,592607.85,0.21608124302020815,591,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00098,2026-08-26,Eastern Cape,Professional Services,Sole Proprietor,3.2,628616.44,0.06689165888736194,630,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00099,2026-08-19,Eastern Cape,Retail Trade,Close Corporation,3.1,499798.39,0.3681499518943393,569,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00100,2026-08-14,KwaZulu-Natal,Real Estate,Close Corporation,14.4,629487.02,0.1092112959813517,614,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00101,2026-08-06,Gauteng,Wholesale Trade,Sole Proprietor,5.1,1059718.97,0.01756115816826965,670,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00102,2026-08-14,Gauteng,Personal Services,Sole Proprietor,7.9,290392.04,0.00760909243535889,694,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00103,2026-08-28,Limpopo,ICT & Tech Services,Pty Ltd,5.0,450076.1,0.4881209127324334,555,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00104,2026-08-09,Gauteng,ICT & Tech Services,Sole Proprietor,9.0,2012594.37,0.522598843161335,551,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00105,2026-08-28,KwaZulu-Natal,Wholesale Trade,Pty Ltd,5.0,1077329.34,0.007504072231788986,695,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00106,2026-08-27,Gauteng,Manufacturing,Pty Ltd,4.6,1572438.62,0.7358285251753754,524,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00107,2026-08-25,North West,Wholesale Trade,Pty Ltd,8.4,198004.81,0.11493151493443927,612,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00108,2026-08-10,Gauteng,Hospitality & Food Service,Pty Ltd,5.0,509426.77,0.4870652870847834,555,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00109,2026-08-24,Western Cape,Manufacturing,Pty Ltd,12.2,784130.91,0.5608538034907397,547,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00110,2026-08-21,KwaZulu-Natal,Professional Services,Sole Proprietor,3.0,1105489.37,0.1388032713494481,606,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00111,2026-08-27,Eastern Cape,Wholesale Trade,Sole Proprietor,13.7,649366.13,0.04871504283711483,639,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00112,2026-08-12,North West,Professional Services,Sole Proprietor,2.0,2456438.95,0.31555297427554535,576,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00113,2026-08-18,Eastern Cape,Health & Wellness,Pty Ltd,3.8,1001063.22,0.05379181402348778,636,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00114,2026-08-28,Western Cape,Transport & Logistics,Sole Proprietor,5.7,1021565.06,0.37720109954031206,568,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00115,2026-08-27,Gauteng,Real Estate,Close Corporation,2.0,934385.36,0.014354300330729118,676,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00116,2026-08-28,Eastern Cape,Transport & Logistics,Pty Ltd,3.2,1850528.48,0.01969144966148844,666,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00117,2026-08-03,Northern Cape,Professional Services,Pty Ltd,8.6,768904.87,0.39335069137195416,566,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00118,2026-08-01,Gauteng,Real Estate,Pty Ltd,4.3,2967637.53,0.21407424699076405,591,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00119,2026-08-03,Free State,Health & Wellness,Pty Ltd,2.9,1581389.15,0.013562101702886731,677,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00120,2026-08-29,Gauteng,Health & Wellness,Pty Ltd,8.7,1353197.41,0.182002469853629,597,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00121,2026-08-13,Western Cape,ICT & Tech Services,Sole Proprietor,5.6,,0.11774213703435445,612,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00122,2026-08-18,KwaZulu-Natal,Real Estate,Pty Ltd,7.8,1637288.0,0.5993005524119867,542,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00123,2026-08-13,KwaZulu-Natal,Retail Trade,Sole Proprietor,13.3,2909776.84,0.7443392066339669,523,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00124,2026-08-03,Northern Cape,Agriculture,Sole Proprietor,5.2,2467906.94,0.08637659347438029,622,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00125,2026-08-27,Eastern Cape,Manufacturing,Sole Proprietor,6.7,1481804.29,0.020323312665392532,665,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00126,2026-08-15,Western Cape,Professional Services,Pty Ltd,25.6,2536288.11,0.84481142577572,505,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00127,2026-08-09,Eastern Cape,Personal Services,Sole Proprietor,0.7,1126949.31,0.2967900930786954,578,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00128,2026-08-02,Western Cape,Health & Wellness,Sole Proprietor,6.1,3397191.41,0.02749472376950072,656,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00129,2026-08-04,Western Cape,Personal Services,Sole Proprietor,2.7,955007.48,0.05807709773124962,634,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00130,2026-08-16,Western Cape,Professional Services,Pty Ltd,7.1,170817.84,0.20988280222502706,592,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00131,2026-08-23,Western Cape,Agriculture,Partnership,2.7,3871135.31,0.09949255927778247,617,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
